
new data
train
0212: pos_pair = 29, neg_pair = 1147
0547, 42, 1336
31.80952380952381
0654, 52, 768
14.76923076923077
0878, 10, 126
12.6
[0, 1, 1, 2, 3, 3, 4, 5, 6, 6, 6, 7, 7, 5, 4, 0, 2]
1225, 40, 863
21.575
0059, 16, 480
30.0
0326, 23, 757
32.91304347826087
1122, 39, 1236
31.692307692307693
0804, 57, 1896
33.26315789473684
0185, 22, 573
26.045454545454547
0266, 53, 1075
20.28301886792453
0120, 33, 1398
42.36363636363637
1036, 29, 712
24.551724137931036
0900, 23, 1012
44.0
0613, 59, 607
10.288135593220339
1274, 48, 1080
22.5
1035, 15, 420
28.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 7, 9, 2, 13, 5, 3, 12, 10, 1, 6, 4, 0, 11, 8, 14]
1284, 39, 822
21.076923076923077
0761, 11, 220
20.0
[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 7, 7, 8, 9, 10, 10, 8, 2, 0, 1, 6, 9]
0104, 294, 1597
5.431972789115647
1128, 69, 2416
35.01449275362319
0293, 34, 1001
29.441176470588236
0062, 111, 1659
14.945945945945946
0224, 27, 1404
52.0
0712, 27, 753
27.88888888888889
1095, 67, 1703
25.417910447761194
1510, 51, 1275
25.0
0527, 62, 1369
22.080645161290324
0539, 41, 662
16.146341463414632
0867, 18, 510
28.333333333333332
0161, 25, 716
28.64
0020, 34, 2244
66.0
test
1317, 34, 431
12.676470588235293
0905, 24, 1104
46.0
1239, 56, 505
9.017857142857142
1028, 32, 598
18.6875
0189, 21, 720
34.285714285714285
0152, 35, 1093
31.228571428571428
1069, 43, 1133
26.348837209302324
0039, 167, 1159
6.940119760479042
0944, 74, 3007
40.63513513513514
0785, 56, 1429
25.517857142857142
0588, 35, 2176
62.17142857142857
0218, 36, 954
26.5
0642, 61, 974
15.967213114754099
0109, 24, 642
26.75
1075, 35, 1505
43.0
0663, 41, 1337
32.609756097560975
1401, 34, 1094
32.1764705882353
1538, 27, 1101
40.77777777777778
0353, 28, 1197
42.75
0675, 57, 1539
27.0
0494, 50, 1225
24.5
0057, 39, 1977
50.69230769230769
0245, 23, 880
38.26086956521739
0302, 28, 1053
37.607142857142854
0429, 32, 871
27.21875
1330, 87, 1624
18.666666666666668
1326, 23, 880
38.26086956521739
0519, 21, 720
34.285714285714285
0854, 22, 413
18.772727272727273
0316, 35, 1618
46.22857142857143
0742, 29, 1052
36.275862068965516
0382, 113, 2588
22.902654867256636
0819, 70, 1883
26.9
0090, 57, 1374
24.105263157894736
1368, 108, 1218
11.277777777777779
0792, 316, 1962
6.208860759493671
0311, 47, 814
17.319148936170212
0744, 64, 1476
23.0625
1001, 53, 1543
29.11320754716981
0385, 37, 909
24.56756756756757
1153, 40, 2040
51.0
1506, 45, 1083
24.066666666666666
0963, 26, 1009
38.80769230769231
0880, 47, 1129
24.02127659574468
0964, 27, 1404
52.0
1079, 24, 837
34.875
1214, 41, 1135
27.682926829268293
1490, 51, 1125
22.058823529411764
0579, 37, 998
26.972972972972972
1398, 94, 2117
22.52127659574468
0691, 81, 585
7.222222222222222
0715, 32, 788
24.625
0354, 13, 312
24.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 11, 12, 12, 3, 0, 9, 5, 7, 2, 4, 6, 1]
1383, 37, 2043
55.21621621621622
1175, 61, 2217
36.34426229508197
0299, 103, 1667
16.184466019417474
0322, 21, 414
19.714285714285715
0100, 35, 2380
68.0
1068, 18, 282
15.666666666666666
0605, 30, 1401
46.7
0684, 28, 602
21.5
1348, 63, 1477
23.444444444444443
1248, 62, 2566
41.38709677419355
0576, 32, 871
27.21875
1500, 24, 966
40.25
0338, 23, 1012
44.0
0969, 33, 597
18.09090909090909
1494, 14, 217
15.5
[0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 8, 9, 1, 8, 9, 0, 5]
0406, 42, 1911
45.5
1551, 50, 940
18.8
0668, 79, 3081
39.0
0670, 43, 1182
27.488372093023255
0325, 71, 1469
20.690140845070424
1025, 73, 3087
42.28767123287671
0534, 35, 1450
41.42857142857143
1199, 50, 1903
38.06
0127, 30, 790
26.333333333333332
1544, 15, 420
28.0
[0, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 0, 11, 5, 2, 9, 12, 7, 14, 10, 3, 13, 1]
1130, 16, 390
24.375
0075, 18, 417
23.166666666666668
0438, 52, 894
17.192307692307693
0021, 50, 545
10.9
0278, 58, 722
12.448275862068966
1328, 20, 646
32.3
0516, 27, 963
35.666666666666664
1489, 56, 1270
22.678571428571427
0528, 66, 837
12.681818181818182
0635, 37, 1448
39.13513513513514
0141, 62, 1649
26.596774193548388
1185, 30, 673
22.433333333333334
0190, 35, 1505
43.0
0076, 17, 544
32.0
1268, 66, 1704
25.818181818181817
1409, 45, 3195
71.0
0383, 82, 2844
34.68292682926829
0800, 24, 756
31.5
1167, 36, 744
20.666666666666668
0957, 55, 935
17.0
0038, 21, 150
7.142857142857143
0010, 20, 646
32.3
0165, 29, 566
19.517241379310345
0569, 22, 798
36.27272727272727
0660, 79, 1517
19.20253164556962
1218, 84, 2061
24.535714285714285
0941, 55, 1271
23.10909090909091
0115, 21, 840
40.0
1203, 27, 876
32.44444444444444
0490, 28, 468
16.714285714285715
1388, 36, 1617
44.916666666666664
0297, 103, 2243
21.776699029126213
0870, 28, 792
28.285714285714285
0583, 74, 2204
29.783783783783782
0564, 50, 2296
45.92
0453, 42, 1284
30.571428571428573
0308, 105, 2241
21.34285714285714
0990, 56, 1169
20.875
0850, 25, 921
36.84
0181, 65, 530
8.153846153846153
0431, 23, 880
38.26086956521739
0444, 73, 2138
29.28767123287671
0575, 71, 1759
24.774647887323944
0629, 64, 1314
20.53125
0028, 19, 684
36.0
0496, 28, 713
25.464285714285715
1566, 17, 448
26.352941176470587
1210, 26, 794
30.53846153846154
0157, 33, 1143
34.63636363636363
0270, 22, 681
30.954545454545453
0011, 23, 328
14.26086956521739
0420, 53, 1543
29.11320754716981
1041, 27, 1101
40.77777777777778
1436, 34, 2046
60.1764705882353
1177, 64, 2282
35.65625
0709, 37, 743
20.08108108108108
0541, 54, 1899
35.166666666666664
1027, 47, 1549
32.95744680851064
0809, 22, 924
42.0
1400, 26, 439
16.884615384615383
0506, 36, 999
27.75
1485, 68, 1885
27.720588235294116
0986, 26, 754
29.0
0336, 86, 2840
33.02325581395349
1207, 41, 905
22.073170731707318
1404, 50, 1841
36.82
0966, 29, 674
23.24137931034483
0097, 18, 282
15.666666666666666
1160, 37, 743
20.08108108108108
1050, 129, 2016
15.627906976744185
0778, 70, 920
13.142857142857142
0375, 43, 623
14.488372093023257
1103, 86, 1684
19.58139534883721
0203, 67, 2489
37.149253731343286
1169, 54, 1716
31.77777777777778
1488, 59, 1711
29.0
1479, 26, 920
35.38461538461539
1184, 77, 2551
33.12987012987013
0681, 61, 1650
27.049180327868854
0502, 49, 2096
42.775510204081634

new data
train
0212, 29, 1147, 39.55172413793103
0110, 106, 2172, 20.49056603773585
0915, 29, 1456, 50.206896551724135
0443, 60, 1956, 32.6
1484, 60, 975, 16.25
0677, 43, 453, 10.534883720930232
1386, 35, 1190, 34.0
0413, 36, 1140, 31.666666666666668
0098, 24, 537, 22.375
0993, 54, 1272, 23.555555555555557
0016, 23, 572, 24.869565217391305
0845, 86, 2764, 32.13953488372093
0701, 97, 849, 8.75257731958763
0175, 64, 1647, 25.734375
1502, 15, 420, 28.0
1349, 42, 1389, 33.07142857142857
1134, 27, 639, 23.666666666666668
0627, 33, 670, 20.303030303030305
1212, 58, 1427, 24.603448275862068
0488, 23, 355, 15.434782608695652
0410, 16, 390, 24.375
1546, 19, 684, 36.0
0570, 86, 1684, 19.58139534883721
0737, 39, 1731, 44.38461538461539
0061, 23, 1012, 44.0
1574, 32, 1193, 37.28125
0001, 73, 1943, 26.616438356164384
0153, 44, 1909, 43.38636363636363
0132, 35, 745, 21.285714285714285
1000, 148, 2702, 18.256756756756758
0394, 88, 1290, 14.659090909090908
0201, 27, 438, 16.22222222222222
0156, 60, 1425, 23.75
0548, 35, 706, 20.17142857142857
1183, 42, 1849, 44.023809523809526
0983, 23, 1012, 44.0
0517, 55, 473, 8.6
1234, 24, 276, 11.5
1221, 82, 2474, 30.170731707317074
0012, 36, 1449, 40.25
0295, 35, 1141, 32.6
0071, 52, 1601, 30.78846153846154
1548, 17, 544, 32.0
1286, 36, 867, 24.083333333333332
0807, 37, 824, 22.27027027027027
1148, 58, 1595, 27.5
1520, 65, 1646, 25.323076923076922
0262, 49, 1176, 24.0
0856, 14, 286, 20.428571428571427
1115, 220, 1158, 5.263636363636364
0919, 14, 364, 26.0
1448, 59, 437, 7.406779661016949
0400, 65, 881, 13.553846153846154
0883, 47, 1331, 28.319148936170212
0499, 29, 917, 31.620689655172413
0048, 69, 3672, 53.21739130434783
0412, 62, 928, 14.96774193548387
0558, 43, 1335, 31.046511627906977
1381, 29, 377, 13.0
0126, 50, 2095, 41.9
1233, 39, 1287, 33.0
1415, 40, 2445, 61.125
1418, 37, 1733, 46.83783783783784
0042, 11, 160, 14.545454545454545
1283, 16, 309, 19.3125
1450, 53, 1543, 29.11320754716981
0319, 23, 538, 23.391304347826086
1468, 41, 1670, 40.73170731707317
0591, 36, 1560, 43.333333333333336
1226, 21, 840, 40.0
0036, 303, 2043, 6.742574257425742
0520, 24, 1104, 46.0
1531, 87, 774, 8.89655172413793
0835, 18, 510, 28.333333333333332
0973, 9, 144, 16.0
0264, 49, 2579, 52.63265306122449
1316, 32, 1453, 45.40625
0381, 36, 1449, 40.25
0896, 23, 757, 32.91304347826087
1321, 62, 1163, 18.758064516129032
0587, 66, 795, 12.045454545454545
0389, 48, 3522, 73.375
1276, 23, 757, 32.91304347826087
1099, 54, 1027, 19.01851851851852
0122, 37, 783, 21.16216216216216
0049, 24, 1104, 46.0
0702, 75, 2851, 38.013333333333335
1540, 33, 1563, 47.36363636363637
0145, 9, 144, 16.0
1052, 60, 1651, 27.516666666666666
0873, 32, 1049, 32.78125
1339, 16, 390, 24.375
0303, 29, 532, 18.344827586206897
0247, 55, 2646, 48.10909090909091
1224, 58, 2357, 40.63793103448276
1449, 33, 913, 27.666666666666668
0592, 62, 2353, 37.95161290322581
0740, 13, 240, 18.46153846153846
0192, 31, 1244, 40.12903225806452
0710, 23, 643, 27.956521739130434
1247, 20, 541, 27.05
1471, 54, 1837, 34.01851851851852
1012, 19, 684, 36.0
1446, 34, 827, 24.323529411764707
0869, 20, 386, 19.3
1279, 58, 1268, 21.862068965517242
0343, 50, 1175, 23.5
0066, 116, 2512, 21.655172413793103
0874, 41, 739, 18.024390243902438
1085, 59, 1319, 22.35593220338983
0468, 141, 2137, 15.156028368794326
0610, 65, 2861, 44.01538461538462
0479, 31, 1050, 33.87096774193548
0849, 98, 1732, 17.6734693877551
0682, 44, 1282, 29.136363636363637
0386, 59, 844, 14.305084745762711
0358, 33, 1920, 58.18181818181818
1273, 20, 211, 10.55
1476, 40, 1185, 29.625
1288, 24, 276, 11.5
1021, 24, 382, 15.916666666666666
0243, 30, 1566, 52.2
1564, 60, 570, 9.5
0655, 23, 1012, 44.0
1126, 23, 757, 32.91304347826087
0512, 44, 1181, 26.84090909090909
0101, 24, 1104, 46.0
0147, 92, 1988, 21.608695652173914
0806, 69, 1156, 16.753623188405797
1392, 33, 1563, 47.36363636363637
0741, 74, 1637, 22.12162162162162
0380, 85, 1685, 19.823529411764707
0821, 28, 1197, 42.75
1361, 49, 3111, 63.48979591836735
1522, 84, 1092, 13.0
0198, 18, 333, 18.5
0546, 42, 993, 23.642857142857142
0859, 22, 573, 26.045454545454547
0078, 34, 2244, 66.0
1407, 31, 564, 18.193548387096776
1004, 42, 1389, 33.07142857142857
1464, 73, 3248, 44.49315068493151
0258, 24, 606, 25.25
0687, 47, 943, 20.06382978723404
1217, 17, 308, 18.11764705882353
0108, 27, 1404, 52.0
1497, 15, 420, 28.0
0980, 49, 1079, 22.020408163265305
0892, 22, 681, 30.954545454545453
1384, 16, 480, 30.0
0423, 41, 1040, 25.365853658536587
0233, 51, 1965, 38.529411764705884
0891, 98, 1855, 18.928571428571427
0172, 78, 868, 11.128205128205128
1455, 45, 1281, 28.466666666666665
0724, 55, 1121, 20.381818181818183
1315, 32, 199, 6.21875
0026, 35, 631, 18.02857142857143
1090, 59, 3101, 52.559322033898304
1053, 19, 477, 25.105263157894736
0689, 83, 2332, 28.096385542168676
1006, 27, 876, 32.44444444444444
1195, 87, 2994, 34.41379310344828
0341, 19, 576, 30.31578947368421
1332, 48, 942, 19.625
1092, 22, 798, 36.27272727272727
0976, 44, 586, 13.318181818181818
0529, 45, 2035, 45.22222222222222
0904, 40, 1235, 30.875
1074, 98, 2248, 22.93877551020408
0176, 20, 760, 38.0
1149, 15, 336, 22.4
1120, 95, 3226, 33.95789473684211
1533, 17, 448, 26.352941176470587
0411, 122, 2089, 17.12295081967213
0217, 22, 924, 42.0
0362, 45, 1971, 43.8
0260, 38, 1447, 38.078947368421055
0205, 19, 477, 25.105263157894736
1499, 27, 1404, 52.0
1552, 45, 1281, 28.466666666666665
1318, 91, 1925, 21.153846153846153
0933, 68, 2077, 30.544117647058822
1373, 16, 480, 30.0
0789, 84, 2766, 32.92857142857143
1046, 50, 1661, 33.22
0315, 51, 2577, 50.529411764705884
0561, 111, 2590, 23.333333333333332
0782, 52, 2504, 48.15384615384615
0911, 59, 1022, 17.322033898305083
0169, 31, 789, 25.451612903225808
0089, 48, 1278, 26.625
1433, 38, 952, 25.05263157894737
0927, 84, 997, 11.869047619047619
0446, 63, 678, 10.761904761904763
0784, 49, 1491, 30.428571428571427
0978, 54, 2721, 50.388888888888886
0803, 75, 2481, 33.08
0515, 26, 1009, 38.80769230769231
0088, 73, 1152, 15.780821917808218
0641, 34, 1397, 41.088235294117645
0269, 65, 2420, 37.23076923076923
0237, 25, 795, 31.8
1304, 40, 1500, 37.5
1465, 108, 2667, 24.694444444444443
1460, 29, 499, 17.20689655172414
1377, 31, 1347, 43.45161290322581
0662, 35, 1450, 41.42857142857143
1430, 81, 3322, 41.01234567901235
0972, 27, 963, 35.666666666666664
0686, 44, 1609, 36.56818181818182
0802, 54, 1272, 23.555555555555557
1414, 16, 480, 30.0
0617, 55, 1170, 21.272727272727273
0550, 15, 261, 17.4
0077, 76, 1005, 13.223684210526315
1188, 57, 1168, 20.49122807017544
0040, 35, 1981, 56.6
0584, 39, 1731, 44.38461538461539
1353, 48, 987, 20.5625
1164, 17, 308, 18.11764705882353
0112, 26, 604, 23.23076923076923
1186, 63, 1477, 23.444444444444443
1346, 32, 1294, 40.4375
0114, 31, 872, 28.129032258064516
0511, 49, 1781, 36.3469387755102
0407, 26, 1300, 50.0
1171, 39, 1042, 26.71794871794872
0194, 17, 448, 26.352941176470587
0017, 50, 1328, 26.56
1570, 27, 534, 19.77777777777778
0609, 62, 1954, 31.516129032258064
1358, 110, 1268, 11.527272727272727
0796, 20, 646, 32.3
0060, 77, 913, 11.857142857142858
1223, 28, 378, 13.5
0768, 43, 552, 12.837209302325581
0574, 38, 665, 17.5
0536, 25, 678, 27.12
1344, 83, 3157, 38.036144578313255
0566, 26, 877, 33.73076923076923
0135, 16, 480, 30.0
0455, 48, 2508, 52.25
1454, 75, 2271, 30.28
0465, 26, 1300, 50.0
1380, 32, 1193, 37.28125
1495, 252, 1023, 4.059523809523809
1426, 41, 1612, 39.31707317073171
1011, 17, 448, 26.352941176470587
1060, 48, 1128, 23.5
1370, 28, 1053, 37.607142857142854
1093, 18, 612, 34.0
0671, 32, 1294, 40.4375
1444, 64, 882, 13.78125
0167, 54, 1962, 36.333333333333336
0404, 43, 1283, 29.837209302325583
0764, 22, 681, 30.954545454545453
0030, 39, 1446, 37.07692307692308
1395, 8, 112, 14.0
1394, 16, 480, 30.0
1172, 14, 364, 26.0
0747, 112, 1968, 17.571428571428573
0082, 118, 1898, 16.084745762711865
0965, 77, 913, 11.857142857142858
0707, 64, 2492, 38.9375
0029, 34, 1001, 29.441176470588236
0047, 20, 541, 27.05
0117, 67, 1703, 25.417910447761194
1563, 33, 463, 14.030303030303031
0852, 60, 1371, 22.85
1108, 83, 1243, 14.975903614457831
0376, 54, 1122, 20.77777777777778
0287, 32, 374, 11.6875
0811, 40, 1338, 33.45
1086, 55, 2430, 44.18181818181818
1191, 56, 1835, 32.767857142857146
1357, 61, 719, 11.78688524590164
1256, 20, 760, 38.0
0314, 13, 312, 24.0
0321, 89, 1864, 20.9438202247191
1341, 21, 840, 40.0
0215, 26, 569, 21.884615384615383
0206, 72, 2484, 34.5
1255, 46, 944, 20.52173913043478
0470, 33, 1293, 39.18181818181818
0250, 39, 2736, 70.15384615384616
0736, 66, 1419, 21.5
1208, 47, 1331, 28.319148936170212
0384, 43, 363, 8.44186046511628
0415, 74, 3412, 46.108108108108105
0817, 18, 612, 34.0
0013, 26, 569, 21.884615384615383
0501, 18, 510, 28.333333333333332
0497, 33, 1095, 33.18181818181818
1263, 22, 924, 42.0
0988, 60, 1425, 23.75
1559, 55, 1121, 20.381818181818183
1002, 52, 2294, 44.11538461538461
0418, 130, 2645, 20.346153846153847
1462, 59, 1894, 32.101694915254235
0787, 56, 2024, 36.142857142857146
1017, 25, 605, 24.2
0170, 38, 1447, 38.078947368421055
0926, 22, 681, 30.954545454545453
0962, 27, 1008, 37.333333333333336
0045, 31, 959, 30.93548387096774
1022, 33, 1002, 30.363636363636363
0775, 36, 630, 17.5
0797, 27, 351, 13.0
1277, 54, 2872, 53.18518518518518
0553, 41, 1184, 28.878048780487806
1051, 31, 1347, 43.45161290322581
0361, 67, 1644, 24.53731343283582
1303, 49, 1226, 25.020408163265305
1146, 140, 806, 5.757142857142857
1438, 34, 869, 25.558823529411764
0909, 54, 849, 15.722222222222221
0951, 16, 390, 24.375
0330, 37, 1139, 30.783783783783782
0367, 60, 1371, 22.85
0708, 15, 420, 28.0
1194, 64, 1952, 30.5
0378, 25, 795, 31.8
1308, 45, 231, 5.133333333333334
0067, 23, 880, 38.26086956521739
0351, 65, 755, 11.615384615384615
0044, 36, 1045, 29.02777777777778
0578, 23, 572, 24.869565217391305
0471, 37, 1503, 40.62162162162162
1536, 52, 1223, 23.51923076923077
1193, 84, 819, 9.75
1222, 71, 1699, 23.929577464788732
0223, 94, 2534, 26.95744680851064
0327, 64, 1421, 22.203125
1216, 45, 945, 21.0
0600, 51, 984, 19.294117647058822
0035, 90, 2760, 30.666666666666668
1313, 21, 720, 34.285714285714285
1527, 70, 2705, 38.642857142857146
0840, 52, 2433, 46.78846153846154
0232, 18, 612, 34.0
1033, 49, 3437, 70.14285714285714
1300, 68, 2417, 35.544117647058826
1493, 78, 2478, 31.76923076923077
0906, 99, 2827, 28.555555555555557
1187, 80, 3241, 40.5125
0948, 58, 1070, 18.448275862068964
0543, 46, 3870, 84.1304347826087
0388, 11, 220, 20.0
0448, 245, 1133, 4.624489795918367
1266, 26, 877, 33.73076923076923
0359, 23, 757, 32.91304347826087
0505, 68, 673, 9.897058823529411
0851, 33, 913, 27.666666666666668
1387, 32, 598, 18.6875
1354, 58, 2357, 40.63793103448276
1232, 35, 1190, 34.0
0355, 59, 1319, 22.35593220338983
1162, 24, 1104, 46.0
1307, 69, 2934, 42.52173913043478
1352, 27, 1101, 40.77777777777778
1258, 26, 409, 15.73076923076923
0084, 51, 1602, 31.41176470588235
0111, 27, 1101, 40.77777777777778
1110, 84, 2691, 32.035714285714285
0239, 16, 309, 19.3125
0683, 63, 927, 14.714285714285714
0628, 86, 2329, 27.08139534883721
1543, 48, 1128, 23.5
0252, 25, 678, 27.12
0469, 37, 998, 26.972972972972972
1024, 481, 647, 1.345114345114345
0946, 23, 1012, 44.0
1007, 78, 450, 5.769230769230769
0265, 44, 1972, 44.81818181818182
0750, 24, 756, 31.5
0669, 88, 815, 9.261363636363637
1015, 51, 2875, 56.372549019607845
1422, 19, 684, 36.0
0725, 14, 217, 15.5
0240, 118, 2367, 20.059322033898304
1059, 50, 1381, 27.62
0657, 40, 950, 23.75
0823, 32, 1193, 37.28125
0150, 65, 1160, 17.846153846153847
1114, 27, 639, 23.666666666666668
0974, 14, 286, 20.428571428571427
1514, 74, 1879, 25.39189189189189
0202, 47, 2231, 47.46808510638298
1408, 22, 924, 42.0
0105, 70, 2208, 31.542857142857144
0309, 36, 744, 20.666666666666668
1320, 20, 760, 38.0
0249, 25, 1200, 48.0
1034, 114, 2889, 25.342105263157894
0936, 28, 1053, 37.607142857142854
0484, 96, 807, 8.40625
0930, 37, 2664, 72.0
0268, 40, 821, 20.525
0216, 27, 501, 18.555555555555557
0626, 12, 264, 22.0
1360, 44, 1726, 39.22727272727273
0860, 46, 900, 19.565217391304348
1482, 76, 1302, 17.13157894736842
1182, 27, 534, 19.77777777777778
0794, 41, 2039, 49.73170731707317
1211, 35, 631, 18.02857142857143
0452, 148, 842, 5.6891891891891895
0830, 35, 1046, 29.885714285714286
0289, 53, 982, 18.528301886792452
1152, 37, 1091, 29.486486486486488
0437, 42, 778, 18.523809523809526
0834, 21, 609, 29.0
0640, 66, 1312, 19.87878787878788
1165, 103, 1437, 13.951456310679612
0847, 27, 1404, 52.0
0818, 31, 1860, 60.0
1112, 52, 1601, 30.78846153846154
0155, 33, 1563, 47.36363636363637
0748, 15, 420, 28.0
0735, 57, 1773, 31.105263157894736
0932, 44, 902, 20.5
1163, 17, 544, 32.0
0907, 27, 1404, 52.0
0729, 29, 917, 31.620689655172413
0837, 24, 966, 40.25
0396, 55, 2090, 38.0
1416, 37, 1289, 34.83783783783784
1547, 28, 962, 34.357142857142854
0500, 33, 432, 13.090909090909092
1045, 18, 192, 10.666666666666666
0441, 28, 1100, 39.285714285714285
1427, 134, 2144, 16.0
0844, 21, 609, 29.0
0523, 86, 2399, 27.8953488372093
1350, 40, 740, 18.5
0023, 53, 1325, 25.0
1437, 88, 1508, 17.136363636363637
0672, 11, 220, 20.0
0777, 25, 570, 22.8
0142, 150, 2625, 17.5
0947, 49, 854, 17.428571428571427
0329, 13, 312, 24.0
0825, 44, 1909, 43.38636363636363
0229, 35, 1343, 38.371428571428574
0313, 43, 992, 23.069767441860463
0427, 52, 1488, 28.615384615384617
1355, 18, 417, 23.166666666666668
0092, 23, 680, 29.565217391304348
1133, 64, 1112, 17.375
0799, 21, 414, 19.714285714285715
0033, 26, 352, 13.538461538461538
0106, 29, 1456, 50.206896551724135
0884, 24, 537, 22.375
0182, 33, 787, 23.848484848484848
1459, 16, 480, 30.0
0442, 57, 2221, 38.96491228070175
0929, 53, 937, 17.67924528301887
0491, 48, 1605, 33.4375
1119, 19, 387, 20.36842105263158
0123, 58, 1217, 20.982758620689655
0024, 78, 2067, 26.5
0481, 33, 1048, 31.757575757575758
0739, 21, 720, 34.285714285714285
0207, 50, 940, 18.8
0390, 27, 1404, 52.0
0392, 318, 1573, 4.946540880503145
1431, 77, 958, 12.441558441558442
0530, 53, 4133, 77.98113207547169
1343, 32, 709, 22.15625
0162, 53, 1717, 32.39622641509434
0791, 34, 869, 25.558823529411764
0508, 96, 1500, 15.625
0839, 17, 361, 21.235294117647058
0977, 35, 461, 13.17142857142857
1220, 22, 573, 26.045454545454547
0482, 33, 1563, 47.36363636363637
1411, 44, 1282, 29.136363636363637
1289, 48, 1782, 37.125
0363, 22, 924, 42.0
0676, 21, 609, 29.0
0633, 47, 899, 19.127659574468087
0460, 21, 330, 15.714285714285714
1517, 85, 950, 11.176470588235293
1336, 55, 1073, 19.509090909090908
1447, 30, 873, 29.1
0285, 79, 2336, 29.569620253164558
1087, 55, 2156, 39.2
0421, 42, 1669, 39.73809523809524
1131, 62, 1954, 31.516129032258064
0332, 17, 544, 32.0
1561, 27, 1248, 46.22222222222222
0756, 58, 1833, 31.603448275862068
0589, 37, 1238, 33.45945945945946
1143, 66, 1159, 17.560606060606062
1439, 83, 1570, 18.91566265060241
1189, 62, 2018, 32.54838709677419
0733, 133, 2717, 20.428571428571427
0002, 49, 1604, 32.734693877551024
0970, 26, 794, 30.53846153846154
1140, 17, 283, 16.647058823529413
0720, 15, 420, 28.0
0493, 43, 1910, 44.41860465116279
1545, 22, 573, 26.045454545454547
0868, 95, 2461, 25.905263157894737
0638, 36, 2109, 58.583333333333336
0053, 18, 213, 11.833333333333334
0538, 24, 717, 29.875
1403, 77, 1939, 25.181818181818183
0928, 37, 1341, 36.24324324324324
0902, 58, 2357, 40.63793103448276
1026, 62, 2216, 35.74193548387097
0599, 20, 760, 38.0
0335, 44, 1441, 32.75
1420, 32, 1508, 47.125
0596, 41, 1135, 27.682926829268293
1083, 102, 2244, 22.0
0788, 64, 2214, 34.59375
0595, 69, 634, 9.18840579710145
0693, 23, 1012, 44.0
0279, 57, 1713, 30.05263157894737
1179, 57, 1483, 26.017543859649123
1351, 36, 2520, 70.0
0524, 35, 911, 26.02857142857143
1452, 58, 1895, 32.672413793103445
0305, 26, 1009, 38.80769230769231
0242, 129, 2149, 16.65891472868217
0533, 47, 656, 13.957446808510639
1532, 45, 1180, 26.22222222222222
1264, 25, 605, 24.2
0567, 144, 2631, 18.270833333333332
0447, 28, 918, 32.785714285714285
0422, 45, 1230, 27.333333333333332
0065, 18, 612, 34.0
0857, 32, 1294, 40.4375
1463, 43, 1668, 38.7906976744186
0344, 16, 390, 24.375
1295, 51, 1545, 30.294117647058822
0745, 38, 1502, 39.526315789473685
0846, 29, 601, 20.724137931034484
1082, 43, 587, 13.651162790697674
0234, 78, 2697, 34.57692307692308
1113, 50, 1381, 27.62
0685, 32, 1144, 35.75
1065, 45, 516, 11.466666666666667
0131, 78, 2200, 28.205128205128204
0331, 43, 1232, 28.651162790697676
0267, 74, 2341, 31.635135135135137
1031, 23, 572, 24.869565217391305
0019, 17, 361, 21.235294117647058
0134, 48, 898, 18.708333333333332
0762, 46, 3357, 72.97826086956522
0350, 99, 2247, 22.696969696969695
1374, 20, 760, 38.0
0918, 20, 760, 38.0
1478, 40, 1041, 26.025
0430, 21, 720, 34.285714285714285
1425, 214, 1382, 6.457943925233645
0199, 61, 1479, 24.24590163934426
1057, 129, 2427, 18.813953488372093
1047, 21, 720, 34.285714285714285
0985, 49, 986, 20.122448979591837
0577, 25, 795, 31.8
0734, 25, 795, 31.8
0945, 35, 1046, 29.885714285714286
0292, 27, 1248, 46.22222222222222
1362, 20, 760, 38.0
1325, 32, 914, 28.5625
1542, 17, 448, 26.352941176470587
0526, 92, 811, 8.815217391304348
1472, 51, 1489, 29.19607843137255
1492, 65, 1261, 19.4
1305, 36, 2520, 70.0
1333, 31, 1347, 43.45161290322581
0890, 29, 637, 21.96551724137931
1518, 27, 568, 21.037037037037038
0466, 76, 914, 12.026315789473685
0522, 27, 753, 27.88888888888889
0897, 94, 1736, 18.46808510638298
1299, 57, 1119, 19.63157894736842
1145, 41, 905, 22.073170731707318
1296, 24, 1104, 46.0
0116, 37, 1091, 29.486486486486488
1340, 68, 2488, 36.588235294117645
0525, 20, 541, 27.05
0836, 51, 2650, 51.96078431372549
0328, 51, 1840, 36.07843137254902
0195, 58, 762, 13.137931034482758
1569, 27, 1101, 40.77777777777778
0063, 72, 1524, 21.166666666666668
1481, 52, 1488, 28.615384615384617
0149, 84, 657, 7.821428571428571
1558, 42, 1039, 24.738095238095237
0841, 62, 1954, 31.516129032258064
0495, 47, 2164, 46.04255319148936
0312, 25, 716, 28.64
0810, 40, 590, 14.75
0711, 21, 609, 29.0
0397, 58, 1895, 32.672413793103445
0992, 33, 708, 21.454545454545453
0143, 16, 390, 24.375
0347, 100, 2456, 24.56
0563, 46, 1280, 27.82608695652174
0824, 19, 332, 17.473684210526315
